number,value,datetime_start,datetime_complete,duration,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
78,0.7670062869055659,2026-05-25 18:05:53.018806,2026-05-25 18:06:09.311234,0 days 00:00:16.292428,128,2,0.00033475909137941495,24,16.18652770000017,1.0,1.0,COMPLETE
79,0.34113466667714276,2026-05-25 18:06:09.331569,2026-05-25 18:06:30.446826,0 days 00:00:21.115257,128,4,0.0023478957734713187,24,21.00910254199971,1.0,1.0,COMPLETE
80,0.3368000379352039,2026-05-25 18:06:30.464451,2026-05-25 18:07:37.866236,0 days 00:01:07.401785,128,4,0.0023565814238831824,80,67.28869775000021,1.0,1.0,COMPLETE
81,0.33230366262257144,2026-05-25 18:07:37.884430,2026-05-25 18:08:04.582503,0 days 00:00:26.698073,384,5,0.0029087201516847503,24,26.592142178999893,1.0,1.0,COMPLETE
82,0.3268959515878688,2026-05-25 18:08:04.601944,2026-05-25 18:08:31.851206,0 days 00:00:27.249262,384,4,0.0019400477544123447,64,27.1275039559996,1.0,1.0,COMPLETE
83,0.2771569814183507,2026-05-25 18:08:31.867588,2026-05-25 18:10:11.611497,0 days 00:01:39.743909,128,5,0.0020996352226311204,48,99.6400831890005,1.0,1.0,COMPLETE
84,0.3974979662700417,2026-05-25 18:10:11.628347,2026-05-25 18:11:57.622847,0 days 00:01:45.994500,128,5,0.002562754880697771,48,105.80250810100006,1.0,1.0,COMPLETE
85,0.28830419832287296,2026-05-25 18:11:57.642854,2026-05-25 18:13:07.487771,0 days 00:01:09.844917,256,5,0.0013994483235012683,48,69.72416867799984,1.0,1.0,COMPLETE
86,0.2851176998854464,2026-05-25 18:13:07.506781,2026-05-25 18:13:31.833254,0 days 00:00:24.326473,384,4,0.0028330880744661256,32,24.201220698000725,1.0,1.0,COMPLETE
87,0.3355440553181891,2026-05-25 18:13:31.853537,2026-05-25 18:13:53.770419,0 days 00:00:21.916882,384,4,0.0027043878255145083,32,21.803475904000152,1.0,1.0,COMPLETE
88,0.30285898356519103,2026-05-25 18:13:53.788925,2026-05-25 18:14:16.508600,0 days 00:00:22.719675,384,4,0.0015697696284272362,32,22.615283125999667,1.0,1.0,COMPLETE
89,0.36644266935999315,2026-05-25 18:14:16.527470,2026-05-25 18:15:49.768970,0 days 00:01:33.241500,128,5,0.0008084602645102616,80,93.11858855799983,1.0,1.0,COMPLETE
90,0.39568252283752575,2026-05-25 18:15:49.787437,2026-05-25 18:21:53.657182,0 days 00:06:03.869745,128,5,0.0021220172705951066,48,363.6081089019999,1.0,1.0,COMPLETE
91,0.26292745890191493,2026-05-25 18:21:53.704773,2026-05-25 18:26:29.392549,0 days 00:04:35.687776,128,5,0.0010009286342457578,48,275.5497658280001,1.0,1.0,COMPLETE
92,0.31750070662932384,2026-05-25 18:26:29.411714,2026-05-25 18:27:28.707923,0 days 00:00:59.296209,128,4,0.0017354456344064095,48,59.19364669100014,1.0,1.0,COMPLETE
93,0.30682662922576764,2026-05-25 18:27:28.729840,2026-05-25 18:29:00.272739,0 days 00:01:31.542899,128,5,0.0007304135905475905,48,91.41390788300032,1.0,1.0,COMPLETE
94,0.33434426397913813,2026-05-25 18:29:00.293914,2026-05-25 18:29:55.296153,0 days 00:00:55.002239,128,4,0.00043831248114042844,64,54.89004131499951,1.0,1.0,COMPLETE
95,0.2771056368170951,2026-05-25 18:29:55.315975,2026-05-25 18:31:24.836197,0 days 00:01:29.520222,128,5,0.0010136994823001118,48,89.41765715600013,1.0,1.0,COMPLETE
96,0.37612873691538584,2026-05-25 18:31:24.858610,2026-05-25 18:32:20.870214,0 days 00:00:56.011604,128,4,0.0008174578911701843,48,55.88611890999982,1.0,1.0,COMPLETE
97,0.3204362444145451,2026-05-25 18:32:20.895456,2026-05-25 18:32:44.498485,0 days 00:00:23.603029,128,5,0.00045600641416222005,24,23.49250148700048,1.0,1.0,COMPLETE
98,0.27883594159404546,2026-05-25 18:32:44.519260,2026-05-25 18:33:59.207075,0 days 00:01:14.687815,128,5,0.0008935939280967983,48,74.57188999000027,1.0,1.0,COMPLETE
99,0.29995080969951954,2026-05-25 18:33:59.228985,2026-05-25 18:35:15.273741,0 days 00:01:16.044756,128,5,0.0012526431692004444,48,75.9276060330003,1.0,1.0,COMPLETE
