number,value,datetime_start,datetime_complete,duration,params_adaptive_beta,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
70,0.12024601935965333,2026-05-25 03:45:07.741614,2026-05-25 03:45:45.263722,0 days 00:00:37.522108,0.9455444257767882,384,4,0.0005569857398701088,80,37.37540425801126,1493.8128389830363,121.11934341577391,COMPLETE
71,0.1786880502334482,2026-05-25 03:45:45.286092,2026-05-25 03:46:04.075247,0 days 00:00:18.789155,0.9457212569023982,128,3,0.0009223065987416637,24,18.655440501999692,541.0841736933324,22.8160611981571,COMPLETE
72,0.10063071045055677,2026-05-25 03:46:04.097204,2026-05-25 03:46:30.916457,0 days 00:00:26.819253,0.9558852924549864,384,3,0.0020759063491532343,80,26.68362126800639,5906.505126524001,7769.610643426229,COMPLETE
73,0.19098501769392068,2026-05-25 03:46:30.940623,2026-05-25 03:47:36.852522,0 days 00:01:05.911899,0.8999843049836592,256,3,0.00146583007715404,80,65.77280210099707,2688.709008466251,1600.5801654074303,COMPLETE
74,0.08704190321887498,2026-05-25 03:47:36.876379,2026-05-25 03:48:04.603163,0 days 00:00:27.726784,0.9332819878404298,384,3,0.0016420652593389633,80,27.586188460991252,7384.355313770241,6452.346473399551,COMPLETE
75,0.154070043615738,2026-05-25 03:48:04.625753,2026-05-25 03:48:34.652672,0 days 00:00:30.026919,0.9036919813538098,384,5,0.0016611513273419782,24,29.80074995699397,600.6241911354105,31.64836659656344,COMPLETE
76,0.10253195770088647,2026-05-25 03:48:34.675311,2026-05-25 03:49:04.978560,0 days 00:00:30.303249,0.8729743094193914,384,3,0.002740424534968278,80,30.156626238996978,20987.524584933664,15750.828374971783,COMPLETE
77,0.2438807279055202,2026-05-25 03:49:05.002077,2026-05-25 03:49:22.599128,0 days 00:00:17.597051,0.8154779653742789,384,2,0.00047977152910271535,64,17.4577736719948,2502.8070475895693,60.002952525384124,COMPLETE
78,0.45977190883461655,2026-05-25 03:49:22.621276,2026-05-25 03:50:05.569924,0 days 00:00:42.948648,0.9614986613337401,384,5,0.0024278099204500755,80,42.80575195001438,231446.33253141347,94839.40885722356,COMPLETE
79,0.2538319513328784,2026-05-25 03:50:05.592859,2026-05-25 03:51:35.173749,0 days 00:01:29.580890,0.940805959243456,256,5,0.00018035988048169328,48,89.4441531170014,15607.72107244657,211.02146684057027,COMPLETE
